season,seed,match,handle,before,current,before_score,current_score,delta
4,271,1,"shirai3des",win,win,1,1,0
4,271,2,"shirai3des",win,win,1,1,0
4,271,3,"cmoyyds",win,win,1,1,0
4,271,4,"cmoyyds",win,win,1,1,0
4,271,5,"sodiumhyrdride",draw,draw,0.5,0.5,0
4,271,6,"cmoyyds",win,win,1,1,0
4,271,7,"sodiumhyrdride",win,win,1,1,0
4,271,8,"gabriel_x86",win,win,1,1,0
4,271,9,"shirai3des",win,win,1,1,0
4,271,10,"gabriel_x86",win,win,1,1,0
4,277,1,"kanuma368",win,win,1,1,0
4,277,2,"sodiumhyrdride",loss,loss,0,0,0
4,277,3,"cmoyyds",win,win,1,1,0
4,277,4,"kanuma368",win,win,1,1,0
4,277,5,"gabriel_x86",win,win,1,1,0
4,277,6,"drewmax",win,win,1,1,0
4,277,7,"sodiumhyrdride",win,win,1,1,0
4,277,8,"gabriel_x86",win,win,1,1,0
4,277,9,"andrei_cursor",win,win,1,1,0
4,277,10,"sodiumhyrdride",win,win,1,1,0
