season,seed,match,handle,before,current,before_score,current_score,delta
3,211,1,"eliancodex",win,win,1,1,0
3,211,2,"s3xyfuture",loss,loss,0,0,0
3,211,3,"1bjax",loss,loss,0,0,0
3,211,4,"_max_q_",win,win,1,1,0
3,211,5,"nateclarklive",win,win,1,1,0
3,211,6,"_max_q_",win,win,1,1,0
3,211,7,"arminsolecki",win,win,1,1,0
3,211,8,"metamaxct",loss,loss,0,0,0
3,211,9,"sodiumhyrdride",loss,loss,0,0,0
3,211,10,"default_vpc",win,win,1,1,0
3,211,11,"default_vpc",win,win,1,1,0
3,211,12,"default_vpc",win,win,1,1,0
3,211,13,"lighttwrecker",win,win,1,1,0
3,211,14,"roostercogdick",win,win,1,1,0
3,211,15,"arminsolecki",win,win,1,1,0
3,211,16,"izzat316",win,win,1,1,0
3,211,17,"theusinnovator",win,win,1,1,0
3,211,18,"_max_q_",win,win,1,1,0
3,211,19,"roostercogdick",win,win,1,1,0
3,211,20,"devtony",loss,loss,0,0,0
